experiment,family,domain,method,lambda,alpha,alpha_std,kl,humaneval,medqa,mmlu,argmax_agreement
EXP-1,Qwen,code,base,0.0,0.5203096539162113,0.1626976877450943,0.42482420802116394,,,,
EXP-1,Qwen,code,standard_ft,0.0,0.5495016611295681,0.1526682823896408,0.6279296875,,,,
EXP-1,Qwen,medical,base,0.0,0.31026374324753736,0.058722421526908875,0.6683202981948853,,,,
EXP-1,Qwen,medical,standard_ft,0.0,0.3259646827992152,0.10286730527877808,0.7309765815734863,,,,
EXP-1,Qwen,chat,base,0.0,0.2545608585145439,0.05742441117763519,0.720507800579071,,,,
EXP-1,Qwen,chat,standard_ft,0.0,0.29024390243902437,0.06068174168467522,0.8496484160423279,,,,
EXP-1,Llama,code,base,0.0,0.5953558808682483,0.1534649282693863,0.3792968690395355,,,,
EXP-1,Llama,code,standard_ft,0.0,0.5449411764705883,0.12714050710201263,0.6227343678474426,,,,
EXP-1,Llama,medical,base,0.0,0.41629169899146623,0.10763106495141983,0.5358984470367432,,,,
EXP-1,Llama,medical,standard_ft,0.0,0.3746560463432295,0.1047532856464386,0.8814843893051147,,,,
EXP-1,Llama,chat,base,0.0,0.37835088993824917,0.10178451985120773,0.5998828411102295,,,,
EXP-1,Llama,chat,standard_ft,0.0,0.25171717171717173,0.08069764822721481,1.088046908378601,,,,
EXP-1,Gemma,code,base,0.0,0.6246636771300449,0.18088118731975555,0.43412110209465027,,,,
EXP-1,Gemma,code,standard_ft,0.0,0.605625,0.1545470952987671,0.7206640839576721,,,,
EXP-1,Gemma,medical,base,0.0,0.3976056864945754,0.08568479120731354,0.4170800745487213,,,,
EXP-1,Gemma,medical,standard_ft,0.0,0.33719237435008664,0.10555312782526016,1.253749966621399,,,,
EXP-1,Gemma,chat,base,0.0,0.39835144248782317,0.07771697640419006,0.4806835949420929,,,,
EXP-1,Gemma,chat,standard_ft,0.0,0.2815440289505428,0.0494774729013443,1.9864062070846558,,,,
EXP-3,Qwen,code,spec_aware,0.1,0.53,0.1540454477071762,0.5947461128234863,,,,
EXP-3,Qwen,medical,spec_aware,0.1,0.3421195652173913,0.11083325743675232,0.9626562595367432,,,,
EXP-3,Qwen,chat,spec_aware,0.1,0.28133053640994904,0.058804918080568314,1.0871093273162842,,,,
EXP-3,Qwen,mixed,spec_aware,0.1,0.3552933009371746,0.14354440569877625,0.9289844036102295,,,,
EXP-4,Qwen,code,spec_aware,0.01,0.5404694835680751,0.15848365426063538,0.625,,,,
EXP-4,Qwen,code,spec_aware,0.05,0.5375409069658719,0.15453381836414337,0.6116796731948853,,,,
EXP-4,Qwen,code,spec_aware,0.1,0.53,0.1540454477071762,0.5947461128234863,,,,
EXP-4,Qwen,code,spec_aware,0.2,0.5356910190786413,0.15512262284755707,0.5613672137260437,,,,
EXP-4,Qwen,code,spec_aware,0.5,0.5493838862559242,0.13667921721935272,0.3120800852775574,,,,
EXP-4,Qwen,code,spec_aware,1.0,0.5938569989929506,0.13099192082881927,0.2612988352775574,,,,
EXP-4,Qwen,medical,spec_aware,0.01,0.3340446815605202,0.09786660224199295,0.7217578291893005,,,,
EXP-4,Qwen,medical,spec_aware,0.05,0.3521633783316026,0.11674127727746964,0.6917187571525574,,,,
EXP-4,Qwen,medical,spec_aware,0.1,0.35592515592515594,0.12288432568311691,0.6631249785423279,,,,
EXP-4,Qwen,medical,spec_aware,0.2,0.37244348762109797,0.12857499718666077,0.6149609088897705,,,,
EXP-4,Qwen,medical,spec_aware,0.5,0.39242761692650335,0.139804407954216,0.48765623569488525,,,,
EXP-4,Qwen,medical,spec_aware,1.0,0.4556428276147168,0.1487419605255127,0.41843751072883606,,,,
EXP-4,Qwen,chat,spec_aware,0.01,0.29175320708613317,0.09014330059289932,0.8483984470367432,,,,
EXP-4,Qwen,chat,spec_aware,0.05,0.295,0.06308399140834808,0.8501562476158142,,,,
EXP-4,Qwen,chat,spec_aware,0.1,0.3029808597427047,0.06548696011304855,0.8115624785423279,,,,
EXP-4,Qwen,chat,spec_aware,0.2,0.3041732036397866,0.09854359179735184,0.6128515601158142,,,,
EXP-4,Qwen,chat,spec_aware,0.5,0.32407045009784735,0.0977235957980156,0.5054687261581421,,,,
EXP-3,Llama,code,spec_aware,0.1,0.5595775324051848,0.13164152204990387,0.5712109208106995,,,,
EXP-3,Llama,medical,spec_aware,0.1,0.37108175651553016,0.09186006337404251,0.5933593511581421,,,,
EXP-3,Llama,chat,spec_aware,0.1,0.349467170849089,0.09020131081342697,0.6884375214576721,,,,
EXP-3,Llama,mixed,spec_aware,0.1,0.392732665925102,0.14933991432189941,0.6671093702316284,,,,
EXP-4,Llama,code,spec_aware,0.01,0.537860465116279,0.13172556459903717,0.6157422065734863,,,,
EXP-4,Llama,code,spec_aware,0.05,0.5409345794392524,0.14108620584011078,0.5948827862739563,,,,
EXP-4,Llama,code,spec_aware,0.1,0.5595775324051848,0.13164152204990387,0.5712109208106995,,,,
EXP-4,Llama,code,spec_aware,0.2,0.5645863570391872,0.13552865386009216,0.515625,,,,
EXP-4,Llama,code,spec_aware,0.5,0.5880582037129954,0.13235320150852203,0.3537890613079071,,,,
EXP-4,Llama,code,spec_aware,1.0,0.6158057851239669,0.1446828991174698,0.2962695360183716,,,,
EXP-4,Llama,medical,spec_aware,0.01,0.39519158527422993,0.09949279576539993,0.8707031011581421,,,,
EXP-4,Llama,medical,spec_aware,0.05,0.38690344062153165,0.10012716799974442,0.8389843702316284,,,,
EXP-4,Llama,medical,spec_aware,0.1,0.3951933909125047,0.08180085569620132,0.794140636920929,,,,
EXP-4,Llama,medical,spec_aware,0.2,0.3817117776152158,0.0842081606388092,0.6693359613418579,,,,
EXP-4,Llama,medical,spec_aware,0.5,0.39248232229251956,0.08904507756233215,0.4880078136920929,,,,
